iter	Passed	Remaining
633	2040	1178
634	2043	1174
635	2047	1171
636	2050	1168
637	2053	1165
638	2056	1161
639	2059	1158
640	2062	1154
641	2065	1151
642	2069	1148
643	2072	1145
644	2074	1142
645	2078	1138
646	2081	1135
647	2084	1132
648	2087	1128
649	2090	1125
650	2093	1122
651	2096	1119
652	2099	1115
653	2102	1112
654	2105	1108
655	2108	1105
656	2111	1102
657	2114	1099
658	2117	1095
659	2120	1092
660	2123	1089
661	2126	1085
662	2130	1082
663	2133	1079
664	2135	1075
665	2138	1072
666	2142	1069
667	2145	1066
668	2148	1063
669	2151	1059
670	2154	1056
671	2157	1053
672	2160	1049
673	2163	1046
674	2166	1043
675	2169	1039
676	2172	1036
677	2175	1033
678	2179	1030
679	2182	1026
680	2185	1023
681	2189	1020
682	2192	1017
683	2195	1014
684	2198	1010
685	2202	1008
686	2205	1004
687	2208	1001
688	2211	998
689	2214	994
690	2217	991
691	2220	988
692	2222	984
693	2226	981
694	2228	978
695	2232	974
696	2235	971
697	2238	968
698	2241	965
699	2244	962
700	2248	959
701	2252	955
702	2255	952
703	2258	949
704	2261	946
705	2264	942
706	2267	939
707	2270	936
708	2273	932
709	2276	929
710	2279	926
711	2282	923
712	2285	920
713	2288	916
714	2291	913
715	2294	910
716	2297	906
717	2300	903
718	2303	900
719	2306	897
720	2310	893
721	2313	890
722	2316	887
723	2318	884
724	2322	880
725	2325	877
726	2328	874
727	2331	871
728	2334	867
729	2337	864
730	2340	861
731	2343	857
732	2346	854
733	2349	851
734	2352	848
735	2355	845
736	2358	841
737	2361	838
738	2364	835
739	2368	832
740	2371	828
741	2374	825
742	2377	822
743	2380	819
744	2383	815
745	2386	812
746	2390	809
747	2393	806
748	2396	803
749	2399	799
750	2402	796
751	2405	793
752	2408	789
753	2411	786
754	2414	783
755	2417	780
756	2420	776
757	2423	773
758	2426	770
759	2429	767
760	2432	764
761	2435	760
762	2438	757
763	2441	754
764	2444	751
765	2448	747
766	2451	744
767	2454	741
768	2457	738
769	2461	735
770	2464	731
771	2467	728
772	2470	725
773	2473	722
774	2477	719
775	2480	715
776	2483	712
777	2485	709
778	2489	706
779	2492	703
780	2495	699
781	2498	696
782	2501	693
783	2504	690
784	2507	686
785	2510	683
786	2513	680
787	2517	677
788	2520	673
789	2523	670
790	2526	667
791	2528	664
792	2531	660
793	2535	657
794	2538	654
795	2541	651
796	2544	648
797	2547	644
798	2550	641
799	2553	638
800	2556	635
801	2559	631
